0|id|integer|0||1
1|run|text|0||0
2|visit|int|0||0
3|filter|text|0||0
4|date|text|0||0
5|dateObs|text|0||0
6|expTime|double|0||0
7|raftName|text|0||0
8|detectorName|text|0||0
9|detector|int|0||0
10|snap|int|0||0
11|object|text|0||0
12|imageType|text|0||0
13|testType|text|0||0
14|lsstSerial|text|0||0
15|wavelength|int|0||0
16|controller|text|0||0
17|obsid|text|0||0
18|expGroup|text|0||0
19|expId|int|0||0
20|dayObs|text|0||0
21|seqNum|int|0||0

1|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S00|63|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-229|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
2|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S01|64|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-225|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
3|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S02|65|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-141|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
4|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S10|66|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-221|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
5|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S11|67|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-131|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
6|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S12|68|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-190|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
7|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S20|69|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-211|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
8|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S21|70|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-192|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
9|13151|3021120901670|unknown|2021-12-10T06:48:30.567|2021-12-10T06:48:30.567|0.0|R14|S22|71|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-217|-666|C|MC_C_20211209_001670|3021120901670|3021120901670|2021-12-09|1670
10|13151|3021120901671|unknown|2021-12-10T06:48:47.156|2021-12-10T06:48:47.156|0.0|R14|S00|63|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-229|-666|C|MC_C_20211209_001671|3021120901671|3021120901671|2021-12-09|1671
11|13151|3021120901671|unknown|2021-12-10T06:48:47.156|2021-12-10T06:48:47.156|0.0|R14|S01|64|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-225|-666|C|MC_C_20211209_001671|3021120901671|3021120901671|2021-12-09|1671
12|13151|3021120901671|unknown|2021-12-10T06:48:47.156|2021-12-10T06:48:47.156|0.0|R14|S02|65|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-141|-666|C|MC_C_20211209_001671|3021120901671|3021120901671|2021-12-09|1671
13|13151|3021120901671|unknown|2021-12-10T06:48:47.156|2021-12-10T06:48:47.156|0.0|R14|S10|66|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-221|-666|C|MC_C_20211209_001671|3021120901671|3021120901671|2021-12-09|1671
